user_id,session_id,search_query,clicked_product_ids,viewed_categories,timestamp,session_duration,conversion_event,purchase_amount,device_type,page_views,time_on_page,persona
user_0001,session_1_0,bedding,[],"['home', 'furniture']",2025-05-21 22:34:01.906062,273,False,0.0,mobile,3,174,home_decorator
user_0001,session_1_1,kitchen appliances,"['p_704', 'p_72', 'p_260', 'p_264']",['decor'],2025-05-31 22:37:01.906062,221,False,0.0,desktop,4,257,home_decorator
user_0001,session_1_2,furniture,[],['home'],2025-05-02 03:59:01.906062,196,False,0.0,mobile,11,213,home_decorator
user_0001,session_1_3,bedding,"['p_53', 'p_513', 'p_178', 'p_302', 'p_752']",['furniture'],2025-05-22 03:32:01.906062,174,False,0.0,mobile,6,217,home_decorator
user_0001,session_1_4,furniture,[],['furniture'],2025-04-29 18:05:01.906062,248,False,0.0,mobile,2,98,home_decorator
user_0001,session_1_5,home decor,['p_489'],"['home', 'decor']",2025-04-12 17:24:01.906062,77,False,0.0,desktop,4,116,home_decorator
user_0001,session_1_6,kitchen appliances,['p_435'],['home'],2025-05-29 19:21:01.906062,253,False,0.0,mobile,6,191,home_decorator
user_0001,session_1_7,kitchen appliances,"['p_584', 'p_563', 'p_94', 'p_324']","['home', 'furniture']",2025-05-22 00:13:01.906062,249,False,0.0,mobile,2,298,home_decorator
user_0001,session_1_8,bedding,[],"['decor', 'furniture']",2025-05-14 07:56:01.906062,238,False,0.0,mobile,5,140,home_decorator
user_0001,session_1_9,lighting,[],['furniture'],2025-05-18 21:33:01.906062,251,True,131.01316960997642,mobile,4,119,home_decorator
user_0001,session_1_10,home decor,[],"['home', 'furniture']",2025-05-09 22:48:01.906062,162,False,0.0,mobile,3,117,home_decorator
user_0002,session_2_0,trendy shoes,['p_305'],['accessories'],2025-04-06 11:35:01.906062,294,False,0.0,desktop,8,271,fashion_forward
user_0002,session_2_1,jewelry,[],['fashion'],2025-05-13 13:17:01.906062,134,False,0.0,mobile,4,238,fashion_forward
user_0002,session_2_2,summer fashion,[],['fashion'],2025-04-20 15:11:01.906062,218,False,0.0,mobile,2,261,fashion_forward
user_0002,session_2_3,designer dress,[],['clothing'],2025-05-25 13:31:01.906062,250,False,0.0,desktop,6,283,fashion_forward
user_0002,session_2_4,luxury handbag,"['p_802', 'p_110']",['fashion'],2025-05-08 20:24:01.906062,236,False,0.0,mobile,4,233,fashion_forward
user_0002,session_2_5,luxury handbag,"['p_278', 'p_366', 'p_743', 'p_326', 'p_142', 'p_482']",['clothing'],2025-04-23 23:08:01.906062,309,False,0.0,desktop,8,298,fashion_forward
user_0002,session_2_6,trendy shoes,[],['clothing'],2025-04-21 16:02:01.906062,278,True,101.58548550201402,desktop,4,187,fashion_forward
user_0002,session_2_7,summer fashion,[],"['accessories', 'fashion']",2025-04-17 21:59:01.906062,297,False,0.0,desktop,6,116,fashion_forward
user_0002,session_2_8,summer fashion,"['p_510', 'p_669']",['fashion'],2025-05-06 19:36:01.906062,282,False,0.0,mobile,3,87,fashion_forward
user_0002,session_2_9,trendy shoes,"['p_800', 'p_446']","['clothing', 'accessories']",2025-04-21 02:41:01.906062,193,False,0.0,mobile,4,197,fashion_forward
user_0002,session_2_10,jewelry,['p_289'],['accessories'],2025-04-07 11:45:01.906062,226,False,0.0,mobile,10,48,fashion_forward
user_0002,session_2_11,luxury handbag,[],"['accessories', 'fashion']",2025-04-20 22:10:01.906062,240,False,0.0,mobile,6,75,fashion_forward
user_0003,session_3_0,home decor,"['p_559', 'p_684']","['home', 'decor']",2025-04-07 03:37:01.906062,269,False,0.0,mobile,1,140,home_decorator
user_0003,session_3_1,home decor,"['p_392', 'p_491', 'p_215', 'p_663']",['home'],2025-05-02 19:28:01.906062,259,False,0.0,desktop,2,233,home_decorator
user_0003,session_3_2,bedding,"['p_183', 'p_763']","['furniture', 'decor']",2025-05-06 17:58:01.906062,130,False,0.0,desktop,3,177,home_decorator
user_0003,session_3_3,home decor,"['p_131', 'p_253', 'p_255']",['home'],2025-05-19 08:06:01.906062,250,False,0.0,mobile,5,262,home_decorator
user_0003,session_3_4,furniture,"['p_874', 'p_74']","['decor', 'furniture']",2025-04-17 02:35:01.906062,225,False,0.0,desktop,4,160,home_decorator
user_0003,session_3_5,home decor,[],['decor'],2025-04-06 07:33:01.906062,259,False,0.0,mobile,5,77,home_decorator
user_0003,session_3_6,lighting,['p_619'],['decor'],2025-05-16 00:46:01.906062,58,False,0.0,mobile,7,266,home_decorator
user_0003,session_3_7,bedding,"['p_866', 'p_371']",['furniture'],2025-04-18 00:29:01.906062,83,False,0.0,mobile,7,193,home_decorator
user_0003,session_3_8,kitchen appliances,"['p_257', 'p_67']","['furniture', 'decor']",2025-05-05 05:21:01.906062,134,False,0.0,tablet,7,43,home_decorator
user_0003,session_3_9,home decor,['p_48'],['furniture'],2025-04-17 04:00:01.906062,262,False,0.0,mobile,3,221,home_decorator
user_0003,session_3_10,lighting,"['p_514', 'p_326']",['decor'],2025-04-18 12:12:01.906062,300,False,0.0,mobile,3,167,home_decorator
user_0003,session_3_11,furniture,[],"['decor', 'furniture']",2025-04-23 02:44:01.906062,68,False,0.0,mobile,6,81,home_decorator
user_0003,session_3_12,lighting,"['p_386', 'p_23']","['furniture', 'decor']",2025-05-25 22:33:01.906062,212,False,0.0,desktop,6,194,home_decorator
user_0003,session_3_13,bedding,"['p_248', 'p_159']","['decor', 'home']",2025-05-10 13:37:01.906062,177,False,0.0,mobile,5,287,home_decorator
user_0003,session_3_14,bedding,"['p_918', 'p_789', 'p_604', 'p_268']","['decor', 'furniture']",2025-04-08 06:55:01.906062,190,False,0.0,desktop,5,277,home_decorator
user_0004,session_4_0,designer dress,"['p_986', 'p_333']","['fashion', 'accessories']",2025-04-10 15:42:01.906062,229,False,0.0,desktop,8,112,fashion_forward
user_0004,session_4_1,trendy shoes,[],"['accessories', 'fashion']",2025-05-23 11:54:01.906062,235,False,0.0,mobile,4,100,fashion_forward
user_0004,session_4_2,jewelry,"['p_113', 'p_124', 'p_316']",['accessories'],2025-04-20 12:04:01.906062,216,False,0.0,mobile,3,41,fashion_forward
user_0004,session_4_3,trendy shoes,"['p_513', 'p_596']","['accessories', 'fashion']",2025-05-27 16:20:01.906062,218,True,135.0673107190675,tablet,5,182,fashion_forward
user_0004,session_4_4,designer dress,[],['accessories'],2025-04-28 09:37:01.906062,363,False,0.0,mobile,5,170,fashion_forward
user_0004,session_4_5,designer dress,"['p_582', 'p_17', 'p_630']","['accessories', 'fashion']",2025-04-23 00:53:01.906062,208,False,0.0,mobile,4,294,fashion_forward
user_0004,session_4_6,jewelry,['p_396'],"['accessories', 'fashion']",2025-05-13 11:54:01.906062,265,False,0.0,mobile,6,153,fashion_forward
user_0004,session_4_7,summer fashion,['p_443'],['accessories'],2025-04-23 01:35:01.906062,195,False,0.0,desktop,3,166,fashion_forward
user_0004,session_4_8,trendy shoes,['p_707'],"['clothing', 'accessories']",2025-05-25 02:48:01.906062,134,True,89.79594315436617,desktop,3,35,fashion_forward
user_0004,session_4_9,jewelry,[],"['fashion', 'accessories']",2025-05-09 04:50:01.906062,308,True,20.796543554261532,tablet,1,85,fashion_forward
user_0004,session_4_10,luxury handbag,[],"['accessories', 'fashion']",2025-05-14 23:32:01.906062,199,False,0.0,desktop,3,53,fashion_forward
